name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,winrate,winrate,winrate,usage,usage,usage,victory
かなた,#Q8P8UU2,21524,19400,9340,132018,Flers,#RLCPJQC0,17048,16775,3984,81830,Ace♝silhouette,#2PQCPPULP,17259,16695,3677,110536,67.57,73.53,63.46,4.0,1.33,3.52,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,85.29,67.57,54.35,0.77,4.0,1.33,1
極性フリー,#22P0CURYQ,20057,18572,6107,174190,holylol,#LJ2ULYVC,8362,8334,5355,79991,你個野壞左呀,#JJVRV0P0,16764,16034,8865,227855,67.57,66.33,79.69,4.0,3.52,2.72,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,79.79,77.08,4.0,2.0,2.96,1
ごりぞー,#QCL2YQRP,16341,15827,8793,127959,臭臭,#PLPVQ8U0,14692,14321,10427,167987,계족산Faker,#20J9U22CC,14346,14114,4644,79197,67.57,66.33,79.69,4.0,3.52,2.72,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,71.26,79.79,73.53,3.17,2.0,1.33,1
нм❀ʕ•̫͡•KEITA,#228YCJCC,21597,18876,15269,235488,EGGꙬしまうま,#8RRY2JL28,20261,18411,10068,163310,네퀴퀴,#P2VLJUCLR,13352,13002,2523,58968,66.33,67.57,79.69,3.52,4.0,2.72,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,79.69,4.0,3.52,2.72,1
딸기모찌,#29LQY9PLL,9817,9805,2249,80433,AI 3,#8LVQ08VPP,18041,17745,10558,302694,지현파,#8VJRY90U2,14904,14873,7219,133875,74.18,78.57,68.92,3.6,1.47,1.36,0
씨익,#90RQUQ22R,17445,16777,9967,158511,おましん,#JRGRLCGJ,17376,16387,7302,144436,열심히안하냐,#PY280QGLP,6675,6377,3890,56827,67.57,66.33,79.69,4.0,3.52,2.72,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.33,78.95,69.33,3.52,1.2,1.39,0
ますす,#VJPRRQG,11088,10860,4580,104693,モンブラン,#RGY90JYL,19005,17413,14435,277430,健大,#GQCPQVQJ,14753,14691,3847,112463,67.57,66.33,79.69,4.0,3.52,2.72,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,71.26,63.46,54.35,3.17,3.52,1.33,0
후파,#9JLY8290Y,20348,18726,2817,108865,じゅりまつ,#L8G29,21240,18893,10426,355386,ナイン,#8RPUVL280,17006,16283,6539,109725,67.57,66.33,79.69,4.0,3.52,2.72,1
